Date,daily runoff
2019-06-01,1.1143904
2019-06-02,1.1298587
2019-06-03,1.1463946
2019-06-04,1.1317368
2019-06-05,1.1477953
2019-06-06,1.1548164
2019-06-07,1.1601402
2019-06-08,1.190445
2019-06-09,1.2388173
2019-06-10,1.2886639
2019-06-11,1.3071213
2019-06-12,1.3554977
2019-06-13,1.3934503
2019-06-14,1.4277575
2019-06-15,1.4845773
2019-06-16,1.5565302
2019-06-17,1.6266222
2019-06-18,1.6616663
2019-06-19,1.7227321
2019-06-20,1.7693306
2019-06-21,1.808192
2019-06-22,1.8655257
2019-06-23,1.9341043
2019-06-24,1.997184
2019-06-25,2.021923
2019-06-26,2.0698233
2019-06-27,2.1009064
2019-06-28,2.1224809
2019-06-29,2.1613896
2019-06-30,2.2110798
2019-07-01,2.2555065
2019-07-02,2.2625368
2019-07-03,2.2943723
2019-07-04,2.3117101
2019-07-05,2.3224928
2019-07-06,2.3541396
2019-07-07,2.4006002
2019-07-08,2.4462483
2019-07-09,2.459269
2019-07-10,2.502076
2019-07-11,2.5354626
2019-07-12,2.5673475
2019-07-13,2.6250033
2019-07-14,2.7021105
2019-07-15,2.782655
2019-07-16,2.8343208
2019-07-17,2.9189155
2019-07-18,2.9965322
2019-07-19,3.0743084
2019-07-20,3.17867
2019-07-21,3.3024013
2019-07-22,3.4285603
2019-07-23,3.5238903
2019-07-24,3.6492655
2019-07-25,3.763871
2019-07-26,3.8739796
2019-07-27,4.005216
2019-07-28,4.1496444
2019-07-29,4.2896934
2019-07-30,4.3915887
2019-07-31,4.515803
2019-08-01,4.6212482
2019-08-02,4.7140603
2019-08-03,4.819859
2019-08-04,4.930844
2019-08-05,5.029714
2019-08-06,5.083094
2019-08-07,5.1519775
2019-08-08,5.1959095
2019-08-09,5.2217565
2019-08-10,5.255957
2019-08-11,5.2915945
2019-08-12,5.312306
2019-08-13,5.2856855
2019-08-14,5.273714
2019-08-15,5.236918
2019-08-16,5.1831255
2019-08-17,5.139696
2019-08-18,5.1005816
2019-08-19,5.0502157
2019-08-20,4.956907
2019-08-21,4.883256
2019-08-22,4.790308
2019-08-23,4.686299
2019-08-24,4.598884
2019-08-25,4.5221953
2019-08-26,4.440733
2019-08-27,4.322761
2019-08-28,4.2307315
2019-08-29,4.1254416
2019-08-30,4.014792
2019-08-31,3.9260256
2019-09-01,3.8527954
2019-09-02,3.779071
2019-09-03,3.672549
2019-09-04,3.5950863
2019-09-05,3.5068777
2019-09-06,3.4152217
2019-09-07,3.3467765
2019-09-08,3.2946372
2019-09-09,3.2422552
2019-09-10,3.1568549
2019-09-11,3.0998783
2019-09-12,3.0311644
2019-09-13,2.9577239
2019-09-14,2.9059935
2019-09-15,2.868916
2019-09-16,2.8298576
2019-09-17,2.7560225
2019-09-18,2.708892
2019-09-19,2.6484003
2019-09-20,2.5817003
2019-09-21,2.5354111
2019-09-22,2.5026908
2019-09-23,2.4671435
2019-09-24,2.3962264
2019-09-25,2.3516784
2019-09-26,2.2936902
2019-09-27,2.229659
2019-09-28,2.1864324
2019-09-29,2.1573703
2019-09-30,2.1262512
2019-10-01,2.0606725
2019-10-02,2.0224776
2019-10-03,1.9719218
2019-10-04,1.9164301
2019-10-05,1.8828385
2019-10-06,1.864461
2019-10-07,1.8449953
2019-10-08,1.7919284
2019-10-09,1.7669694
2019-10-10,1.7302188
2019-10-11,1.6889317
2019-10-12,1.6697661
2019-10-13,1.6658541
2019-10-14,1.6607146
2019-10-15,1.6216636
2019-10-16,1.6102515
2019-10-17,1.5864376
2019-10-18,1.5573561
2019-10-19,1.5495678
2019-10-20,1.5561332
2019-10-21,1.5605261
2019-10-22,1.5300447
2019-10-23,1.5262474
2019-10-24,1.509127
2019-10-25,1.4858743
2019-10-26,1.4831259
2019-10-27,1.4940355
2019-10-28,1.5021828
2019-10-29,1.474981
2019-10-30,1.4741079
2019-10-31,1.4596765
2019-11-01,1.4389935
2019-11-02,1.4388047
2019-11-03,1.4523615
2019-11-04,1.4633272
2019-11-05,1.4391816
2019-11-06,1.4416516
2019-11-07,1.4308785
2019-11-08,1.414178
2019-11-09,1.4182842
2019-11-10,1.4364177
2019-11-11,1.452194
2019-11-12,1.4330285
2019-11-13,1.4405711
2019-11-14,1.4348763
2019-11-15,1.4231658
2019-11-16,1.4320763
2019-11-17,1.454732
2019-11-18,1.4746546
2019-11-19,1.4591742
2019-11-20,1.4698648
2019-11-21,1.4667183
2019-11-22,1.4569093
2019-11-23,1.4670451
2019-11-24,1.490238
2019-11-25,1.5100176
2019-11-26,1.493741
2019-11-27,1.5030282
2019-11-28,1.4979334
2019-11-29,1.4857101
2019-11-30,1.4930576
2019-12-01,1.5131907
2019-12-02,1.5297499
2019-12-03,1.5102065
2019-12-04,1.516296
2019-12-05,1.5081865
2019-12-06,1.4932379
2019-12-07,1.4982473
2019-12-08,1.5165153
2019-12-09,1.5317526
2019-12-10,1.511484
2019-12-11,1.5174794
2019-12-12,1.5099212
2019-12-13,1.4961629
2019-12-14,1.5029746
2019-12-15,1.5236098
2019-12-16,1.541713
2019-12-17,1.5247264
2019-12-18,1.5343219
2019-12-19,1.5305712
2019-12-20,1.5207096
2019-12-21,1.5313818
2019-12-22,1.5557144
2019-12-23,1.577226
2019-12-24,1.5632378
2019-12-25,1.5753094
2019-12-26,1.5734117
